,productos,url_imagen
266,Los Intocables Black Malbec 2021,https://cav.cl/storage/sku_images/31070.jpg
267,Flaherty Blend Reserva 2021,https://cav.cl/storage/sku_images/30302.jpg
268,Humo Blanco L'atelier Carmenere Sin Sulfito 2022,https://cav.cl/storage/sku_images/31491.jpg
269,Francois Lurton Humo Blanco Edición Limitada Chardonnay 2020,https://cav.cl/storage/sku_images/30420.jpg
270,Francois Lurton Humo Blanco Grand Cuvee Pinot Noir 2015,https://cav.cl/storage/sku_images/23777.jpg
271,Francois Lurton Humo Blanco Edición Limitada Syrah 2020,https://cav.cl/storage/sku_images/29085.jpg
272,30506,https://cav.cl/storage/sku_images/30627.jpg
273,Garces Silva Boya Pinot Noir 2019,https://cav.cl/storage/sku_images/30817.jpg
274,Garces Silva Boya Sauvignon Blanc 2022,https://cav.cl/storage/sku_images/30873.jpg
275,Garces Silva Amayna Syrah 2020,https://cav.cl/storage/sku_images/30474.jpg
276,Gillmore Aglianico Del Maule 2021,https://cav.cl/storage/sku_images/31284.jpg
